Time	Fluo2	mtRCamp
8.15	27.69614	7.36888
8.16	31.81583	8.64475
8.17	30.48317	6.96951
8.18	26.78325	4.01299
8.19	26.54689	5.51823
8.2	27.38696	8.41014
8.21	26.00531	8.85246
8.22	24.16388	8.78784
8.23	20.06851	10.73125
8.24	15.70636	12.91232
8.25	21.88859	9.06179
8.26	28.30537	5.12093
8.27	26.78653	7.39868
8.28	25.24123	9.22772
8.29	23.43185	6.57828
8.3	22.57181	5.45025
8.31	26.82074	12.50993
8.32	28.73861	17.2421
8.33	22.50298	13.83323
8.34	19.36084	10.96416
8.35	23.86774	9.42981
8.36	25.80997	7.74665
8.37	23.06385	5.79149
8.38	23.64301	6.68783
8.39	28.82869	11.53438
8.4	28.3041	13.22413
8.41	21.71279	11.56002
8.42	22.36969	10.82993
8.43	28.94497	10.8625
8.44	30.87178	9.63086
8.45	29.90247	7.6116
8.46	28.62476	6.78185
8.47	27.20311	6.50734
8.48	26.59053	8.04379
8.49	26.25141	10.1923
8.5	26.22709	10.31828
8.51	26.27517	9.97915
8.52	24.77656	8.29138
8.53	23.06437	6.41738
8.54	25.77598	9.91325
8.55	28.69573	13.67275
8.56	26.35336	12.13788
8.57	24.43946	10.59325
8.58	27.76717	8.92914
8.59	30.14141	7.58672
8.6	26.71651	8.20087
8.61	24.60146	8.41726
8.62	27.50939	7.10831
8.63	28.48055	6.76788
8.64	24.28021	9.01357
8.65	21.19954	11.34107
8.66	20.31088	13.82871
8.67	22.4031	15.81438
8.68	28.89773	17.05871
8.69	30.72118	15.29254
8.7	27.26372	10.12289
8.71	25.95857	7.85729
8.72	26.52413	8.11577
8.73	26.78881	6.9866
8.74	26.85343	4.93477
8.75	29.45827	9.4813
8.76	33.33551	17.33297
8.77	32.80251	17.30969
8.78	30.654	14.40176
8.79	28.27337	10.83663
8.8	25.83381	7.10466
8.81	24.23093	6.789
8.82	22.76068	7.01491
8.83	24.54686	9.13169
8.84	26.58267	11.39341
8.85	27.79902	11.95247
8.86	28.79339	12.371
8.87	26.38588	10.73946
8.88	24.6323	9.04488
8.89	27.42701	6.91188
8.9	28.92359	5.06346
8.91	24.93366	4.41777
8.92	22.8532	5.20001
8.93	26.29412	10.11117
8.94	27.55148	12.82294
8.95	24.22378	10.91637
8.96	24.48966	8.91588
8.97	30.41822	6.76737
8.98	31.83032	6.75989
8.99	27.80781	9.32869
9	23.89435	11.63725
9.01	20.08173	13.70511
9.02	19.1428	13.50427
9.03	20.24135	11.6949
9.04	22.4649	10.16912
9.05	25.29218	8.79555
9.06	25.32996	8.48711
9.07	24.26346	8.60032
9.08	24.41022	9.69878
9.09	24.89513	11.07184
9.1	25.74946	9.99397
9.11	26.67017	8.47564
9.12	27.04509	9.93749
9.13	27.36819	11.68224
9.14	25.8254	9.8526
9.15	24.33099	8.08429
9.16	24.73474	9.28003
9.17	25.16162	10.58077
9.18	25.77526	12.72927
9.19	25.89468	13.93469
9.2	23.69757	10.71969
9.21	22.4875	8.59307
9.22	24.37804	9.88549
9.23	26.42719	10.54778
9.24	28.83418	9.78836
9.25	28.56162	9.78178
9.26	23.77969	11.04214
9.27	21.45523	11.82796
9.28	22.27928	12.00579
9.29	23.19269	11.83345
9.3	24.19405	11.31648
9.31	26.51144	10.32099
9.32	29.82312	8.96396
9.33	27.73671	9.75177
9.34	22.55104	11.77104
9.35	23.21934	11.3561
9.36	26.38575	9.90239
9.37	26.43153	11.48214
9.38	25.52684	13.9858
9.39	23.64086	10.99149
9.4	21.55697	6.88834
9.41	23.80947	7.5857
9.42	26.55558	8.82952
9.43	29.3799	9.34218
9.44	32.09777	9.8515
9.45	31.16103	11.17596
9.46	29.73159	12.23577
9.47	23.59211	10.76552
9.48	18.62093	9.38595
9.49	19.76807	8.48126
9.5	20.65238	8.50024
9.51	20.63635	11.6832
9.52	21.26567	12.68951
9.53	23.46278	8.40801
9.54	24.20555	5.98509
9.55	22.33155	6.90633
9.56	22.32249	7.14419
9.57	24.85872	6.44939
9.58	25.5643	7.68019
9.59	24.35306	10.92725
9.6	23.53541	12.07965
9.61	23.03447	11.54666
9.62	22.40345	12.72555
9.63	21.69263	14.95471
9.64	24.24835	14.34959
9.65	28.30342	12.44354
9.66	29.73737	9.61499
9.67	30.30241	6.48063
9.68	32.64909	5.95877
9.69	35.39572	6.02339
9.7	31.89901	6.75805
9.71	27.56943	7.58209
9.72	28.29322	6.61452
9.73	29.24922	5.55927
9.74	26.90685	5.28424
9.75	25.0737	5.32403
9.76	29.16083	9.02395
